date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
17-04-2011,19.8,14.6,28.3,2,,,,,,
18-04-2011,19.5,14.9,25.4,0,,,,,,
19-04-2011,19.2,13.8,25.3,0,,,,,,
20-04-2011,16.7,12.8,22,3.7,,,,,,
21-04-2011,18.2,15.2,22.6,0,,,,,,
22-04-2011,20.7,15.6,27.1,0,,,,,,
23-04-2011,22.2,14.5,31.7,0,,,,,,
24-04-2011,22.1,17.9,27.4,0,,,,,,
25-04-2011,24,15.4,34.4,0,,,,,,
26-04-2011,25.7,18.1,34.7,0,,,,,,
27-04-2011,24.8,19.8,29.9,0,,,,,,
28-04-2011,23.6,16.9,30.5,0,,,,,,
29-04-2011,26.5,18.2,35.8,0,,,,,,
30-04-2011,26.3,20.5,32.7,0,,,,,,
01-05-2011,25.3,23.5,27.7,0,,,,,,
02-05-2011,17.6,14.4,25,6.2,,,,,,
03-05-2011,17.3,12.9,22.1,0,,,,,,
04-05-2011,19.7,14,26.3,0,,,,,,
05-05-2011,21.8,15.3,30,0,,,,,,
06-05-2011,24.6,17.2,32.3,0,,,,,,
07-05-2011,27.6,20.7,35.3,0,,,,,,
08-05-2011,28.4,23.9,33.6,0,,,,,,
09-05-2011,28.8,24.9,34.7,0,,,,,,
10-05-2011,21.7,17.3,30.3,64.8,,,,,,
11-05-2011,21.1,17,25.8,0,,,,,,
12-05-2011,24.2,19.5,29.8,0.2,,,,,,
13-05-2011,21.5,16.9,27.9,0.2,,,,,,
14-05-2011,19.8,17.4,23.6,1.2,,,,,,
15-05-2011,19.2,15,24.2,0,,,,,,
16-05-2011,24.3,17,32.7,0,,,,,,
17-05-2011,26.3,18.3,35.6,0,,,,,,
18-05-2011,28.9,19.7,38.7,0,,,,,,
19-05-2011,28.9,21.2,37,0,,,,,,
20-05-2011,28.3,21.9,35,0,,,,,,
21-05-2011,19.7,15.4,29.8,1.6,,,,,,
22-05-2011,14.1,12.6,15.6,20.5,,,,,,
23-05-2011,17.2,11.7,21.9,0,,,,,,
24-05-2011,18.4,16,20.8,0,,,,,,
25-05-2011,21.1,17.1,26.5,0,,,,,,
26-05-2011,22.5,16,28.7,0,,,,,,
27-05-2011,23.7,17.7,29.8,0,,,,,,
28-05-2011,24.4,18.7,30.9,0,,,,,,
29-05-2011,25.8,19.8,32.6,0,,,,,,
30-05-2011,25.4,22.4,31.8,1.1,,,,,,
31-05-2011,22.3,17.9,27.4,5.6,,,,,,
01-06-2011,25.5,18.3,32.9,0,,,,,,
02-06-2011,24.1,22.4,28.2,0,,,,,,
03-06-2011,22.9,20.2,28.7,1.2,,,,,,
04-06-2011,22.2,19.7,25.2,0.2,,,,,,
05-06-2011,24.4,21.5,28.2,0,,,,,,
06-06-2011,24,22.4,27.2,0.1,,,,,,
07-06-2011,27.6,20.1,36.6,0,,,,,,
08-06-2011,30.6,23.3,38.1,0,,,,,,
09-06-2011,29.3,25,35.8,1.7,,,,,,
10-06-2011,26.9,23.5,31.7,4.3,,,,,,
11-06-2011,27.3,24.3,31.1,0,,,,,,
12-06-2011,27.1,24.4,31.1,0,,,,,,
13-06-2011,23.8,22,27.5,12.1,,,,,,
14-06-2011,21,20.1,22.1,58,,,,,,
15-06-2011,24.7,21,30,0,,,,,,
16-06-2011,25.3,21.9,29.2,0,,,,,,
17-06-2011,25.6,22.5,29.4,2.8,,,,,,
18-06-2011,23.1,22.1,25.1,67.2,,,,,,
19-06-2011,25.6,21,31.3,0,,,,,,
20-06-2011,25.2,22.8,27.8,0,,,,,,
21-06-2011,25.8,23.3,28.2,0.9,,,,,,
22-06-2011,28.3,25.3,32.1,0,,,,,,
23-06-2011,27.2,24.3,31.3,27.9,,,,,,
24-06-2011,26.9,22.9,32.4,36.8,,,,,,
25-06-2011,27,24.1,30.9,0,,,,,,
